"Story","Title","Result","Date","Stability","Duration (s)"
"I am going to generate text","Verify system displays the same text variant value as selected","SUCCESS","2020-11-22T21:44:46.504+03:00[Europe/Moscow]","0.0","9.73"
"I am going to generate text","Verify uppercase checkbox recklick right","SUCCESS","2020-11-22T21:44:56.24+03:00[Europe/Moscow]","0.0","3.43"
"I am going to generate text","Verify strict regime checkbox was clicked","SUCCESS","2020-11-22T21:44:59.671+03:00[Europe/Moscow]","0.0","3.36"
"I am going to generate text","Verify generated text has expected number of symbols","SUCCESS","2020-11-22T21:45:03.037+03:00[Europe/Moscow]","0.0","4.72"
"I am going to generate text","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-22T21:45:07.763+03:00[Europe/Moscow]","0.0","2.45"
"I am going to generate text","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-22T21:45:10.215+03:00[Europe/Moscow]","0.0","2.37"
"I am going to generate text","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-22T21:45:12.587+03:00[Europe/Moscow]","0.0","2.2"
"Onliner Footer check","Homepage sections footer check","SUCCESS","2020-11-22T21:44:57.555+03:00[Europe/Moscow]","0.0","4.22"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-22T21:45:04.879+03:00[Europe/Moscow]","0.0","7.59"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-22T21:45:12.47+03:00[Europe/Moscow]","0.0","5.21"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-22T21:45:26.459+03:00[Europe/Moscow]","0.0","6.39"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-22T21:45:39.084+03:00[Europe/Moscow]","0.0","7.45"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-22T21:45:51.909+03:00[Europe/Moscow]","0.0","5.63"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-22T21:45:57.554+03:00[Europe/Moscow]","0.0","7.49"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-22T21:46:05.05+03:00[Europe/Moscow]","0.0","6.98"
"Onliner Homepage check","Homepage is avaliable check","SUCCESS","2020-11-22T21:45:17.757+03:00[Europe/Moscow]","0.0","6.49"
"Onliner Homepage check","Homepage newssection opens","SUCCESS","2020-11-22T21:45:46.231+03:00[Europe/Moscow]","0.0","7.94"
"Onliner Search check","Goods search","SUCCESS","2020-11-22T21:45:57.403+03:00[Europe/Moscow]","0.0","5.92"
"Onliner Search check","Go to good's page from search","SUCCESS","2020-11-22T21:46:03.323+03:00[Europe/Moscow]","0.0","8.32"
