"Story","Title","Result","Date","Stability","Duration (s)"
"Text generator","Verify system displays the same text variant value as selected","SUCCESS","2020-11-29T15:19:38.844+03:00[Europe/Moscow]","0.0","5.19"
"Text generator","Verify uppercase checkbox recklick right","SUCCESS","2020-11-29T15:19:44.04+03:00[Europe/Moscow]","0.0","5.63"
"Text generator","Verify strict regime checkbox was clicked","SUCCESS","2020-11-29T15:19:49.678+03:00[Europe/Moscow]","0.0","4.88"
"Text generator","Verify generated text has expected number of symbols","SUCCESS","2020-11-29T15:19:54.56+03:00[Europe/Moscow]","0.0","10.52"
"Text generator","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-29T15:20:05.095+03:00[Europe/Moscow]","0.0","4.01"
"Text generator","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-29T15:20:09.117+03:00[Europe/Moscow]","0.0","3.33"
"Text generator","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-29T15:20:12.463+03:00[Europe/Moscow]","0.0","3.63"
"Onliner Footer check","Homepage sections footer check","SUCCESS","2020-11-29T15:19:49.066+03:00[Europe/Moscow]","0.0","6.77"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-29T15:19:38.925+03:00[Europe/Moscow]","0.0","11.56"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-29T15:19:50.496+03:00[Europe/Moscow]","0.0","6.89"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-29T15:20:08.973+03:00[Europe/Moscow]","0.0","10.78"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-29T15:20:25.673+03:00[Europe/Moscow]","0.0","6.85"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-29T15:20:36.874+03:00[Europe/Moscow]","0.0","4.74"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-29T15:20:41.616+03:00[Europe/Moscow]","0.0","6.09"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-29T15:20:47.714+03:00[Europe/Moscow]","0.0","5.5"
"Onliner Homepage check","Homepage is avaliable check","SUCCESS","2020-11-29T15:19:38.845+03:00[Europe/Moscow]","0.0","10.76"
"Onliner Homepage check","Homepage newssection opens","SUCCESS","2020-11-29T15:20:25.392+03:00[Europe/Moscow]","0.0","5.11"
"Onliner Search check","Goods search","SUCCESS","2020-11-29T15:20:00.879+03:00[Europe/Moscow]","0.0","7.93"
"Onliner Search check","Go to good's page from search","SUCCESS","2020-11-29T15:20:08.81+03:00[Europe/Moscow]","0.0","12.14"
